"Dependents","MultipleLines","InternetService","Contract","tenure","MonthlyCharges","Churn","confidence(No)","confidence(Yes)","prediction(Churn)","cost"
"No","No","DSL","Month-to-month",1.0,29.85,"No",0.7550017080714108,0.24499829192858927,"No",0.5100034161428215
"No","No","Fiber optic","Month-to-month",2.0,70.7,"Yes",0.4263427534209565,0.5736572465790434,"Yes",0.14731449315808687
"Yes","Yes","Fiber optic","Month-to-month",22.0,89.1,"No",0.6088173300659353,0.39118266993406464,"No",0.21763466013187066
"No","No","Fiber optic","Month-to-month",25.0,105.5,"No",0.6695203261193116,0.3304796738806884,"No",0.3390406522386232
"Yes","No","DSL","Month-to-month",10.0,55.2,"Yes",0.9021773699958445,0.09782263000415552,"No",0.804354739991689
"No","No","DSL","Month-to-month",1.0,20.15,"Yes",0.8331034359193508,0.16689656408064923,"No",0.6662068718387015
"No","No","DSL","Month-to-month",1.0,45.25,"No",0.7015742150801291,0.2984257849198709,"No",0.4031484301602582
"Yes","Yes","Fiber optic","Two year",72.0,99.9,"No",0.9478348585582927,0.05216514144170722,"No",0.8956697171165855
"No","No","Fiber optic","Month-to-month",46.0,74.8,"No",0.8633823776101824,0.13661762238981748,"No",0.726764755220365
"No","Yes","Fiber optic","Month-to-month",34.0,106.35,"Yes",0.5465650606857605,0.45343493931423956,"No",0.09313012137152094
"No","Yes","Fiber optic","Month-to-month",11.0,97.85,"Yes",0.3411170439521463,0.6588829560478536,"Yes",0.3177659120957073
"Yes","Yes","DSL","Two year",70.0,69.2,"No",0.9579143061059209,0.04208569389407909,"No",0.9158286122118418
"Yes","No","DSL","One year",17.0,20.75,"No",0.957043157007865,0.042956842992135036,"No",0.91408631401573
"No","Yes","DSL","Two year",63.0,79.85,"No",0.952630801332485,0.04736919866751491,"No",0.9052616026649701
"No","Yes","Fiber optic","Month-to-month",49.0,84.5,"No",0.7849131383312297,0.2150868616687703,"No",0.5698262766624593
"No","No","DSL","Month-to-month",2.0,49.25,"No",0.7168280845889354,0.28317191541106457,"No",0.43365616917787086
"No","Yes","Fiber optic","Month-to-month",43.0,90.25,"No",0.7015382718554074,0.29846172814459254,"No",0.40307654371081486
"No","No","Fiber optic","Month-to-month",15.0,99.1,"Yes",0.526737976091035,0.47326202390896505,"No",0.053475952182069963
"No","Yes","Fiber optic","Month-to-month",8.0,80.65,"Yes",0.3685025126697925,0.6314974873302075,"Yes",0.262994974660415
"Yes","Yes","Fiber optic","One year",63.0,99.65,"No",0.9169084737103912,0.08309152628960875,"No",0.8338169474207824
"Yes","Yes","Fiber optic","One year",66.0,108.45,"No",0.9096389875025962,0.0903610124974038,"No",0.8192779750051924
"Yes","Yes","DSL","Two year",34.0,24.95,"No",0.9590346806418119,0.04096531935818809,"No",0.9180693612836237
"No","Yes","Fiber optic","Month-to-month",47.0,100.5,"No",0.6790141233573421,0.3209858766426579,"No",0.35802824671468425
"No","No","DSL","Two year",72.0,42.1,"No",0.9575841139551114,0.04241588604488853,"No",0.9151682279102229
"No","Yes","Fiber optic","Month-to-month",9.0,94.4,"Yes",0.3304958450907738,0.6695041549092262,"Yes",0.3390083098184524
"Yes","Yes","DSL","Two year",62.0,24.25,"No",0.9594521279711165,0.0405478720288836,"No",0.9189042559422329
"No","Yes","Fiber optic","One year",56.0,110.5,"No",0.8076393615855991,0.19236063841440076,"No",0.6152787231711984
"No","No","DSL","Month-to-month",30.0,74.75,"No",0.9006983965890702,0.09930160341092974,"No",0.8013967931781405
"No","No","Fiber optic","Month-to-month",7.0,75.15,"Yes",0.4712861564567093,0.5287138435432907,"Yes",0.05742768708658136
"No","Yes","Fiber optic","Month-to-month",9.0,99.3,"No",0.32147354187911054,0.6785264581208894,"Yes",0.3570529162417789
"Yes","No","DSL","Two year",48.0,20.65,"No",0.9591781659916717,0.04082183400832823,"No",0.9183563319833434
"Yes","No","DSL","Two year",46.0,19.95,"No",0.9591654728749539,0.04083452712504606,"No",0.9183309457499078
"No","No","DSL","Month-to-month",29.0,33.75,"No",0.9095308028623856,0.09046919713761437,"No",0.8190616057247713
"Yes","No","Fiber optic","Month-to-month",30.0,82.05,"No",0.7891615421739592,0.21083845782604063,"No",0.5783230843479186
"No","No","Fiber optic","Month-to-month",1.0,74.7,"No",0.40026654273086787,0.5997334572691321,"Yes",0.1994669145382642
"Yes","Yes","DSL","Two year",66.0,84.0,"No",0.9564675291770538,0.043532470822946125,"No",0.9129350583541077
"No","No","DSL","Month-to-month",5.0,21.05,"Yes",0.8583198112317443,0.14168018876825575,"No",0.7166396224634886
"No","No","DSL","Two year",52.0,21.0,"No",0.9583227212311414,0.04167727876885872,"No",0.9166454424622826
"No","No","Fiber optic","Month-to-month",25.0,98.5,"Yes",0.6717463478109177,0.32825365218908215,"No",0.34349269562183554
"No","No","DSL","One year",66.0,45.55,"No",0.9527131186233039,0.04728688137669625,"No",0.9054262372466076
"Yes","Yes","Fiber optic","One year",72.0,104.15,"No",0.9205210940195755,0.07947890598042447,"No",0.841042188039151
"No","Yes","Fiber optic","One year",43.0,94.35,"No",0.8388786015398239,0.16112139846017612,"No",0.6777572030796477
"Yes","No","DSL","Two year",72.0,19.4,"No",0.9594233419627612,0.040576658037238776,"No",0.9188466839255225
